"","V1","V2","V3"
"distcalc",0.819119397064657,0.571428571428571,0.51961950059453
"orig_income",0.830226100753669,0.6,0.596908442330559
"dest_income",0.835382784609282,0.630952380952381,0.589774078478002
"orig_pop",0.82427608092027,0.580952380952381,0.574316290130797
"dest_pop",0.842126140420468,0.632142857142857,0.590963139120095
"Hub",0.857596191987307,0.629761904761905,0.587395957193817
"ecoPerCapita",0.827449424831416,0.703571428571429,0.680142687277051
"Tourist",0.857199523998413,0.614285714285714,0.589774078478002
"Industry",0.870686235620785,0.616666666666667,0.587395957193817
