City	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	Locid
Atlanta	407646	403080	397365	396311	403548	410086	414233	417090	420003	432135	444032	448409	456002	ATL
Los Angeles	3762432	3784279	3792650	3788197	3767960	3751872	3763566	3781938	3792621	3826423	3861678	3897940	3928864	LAX
Chicago	2847266	2819117	2786291	2752523	2720181	2703991	2697359	2697006	2695598	2705627	2715415	2722307	2722389	ORD
Fort Worth	1776223	1784735	1793348	1808658	1840262	1865429	1890331	1919910	1939022	1981294	2021971	2054780	2093285	DFW
New York	8072000	8068073	8043366	8013368	7993906	8013775	8068195	8131574	8175133	8287238	8365903	8438379	8491079	JFK
Denver	556790	552588	550756	551691	556895	564395	575721	589011	600158	619390	633868	648401	663862	DEN
San Francisco  	772723	766160	761325	763016	768650	778673	791152	801922	805235	816239	829691	841138	852469	SFO
Charlotte	601869	613674	626629	645100	669217	691568	709993	724333	731424	756204	774969	793951	809958	CLT
Las Vegas	705586	725766	753776	776305	802108	823297	835920	841098	841485	848215	861572	874373	891039	LAS
Phoenix	1357196	1368806	1386945	1417720	1441241	1450901	1456729	1452679	1445632	1465114	1489531	1512442	1537058	PHX
Houston	1990408	1992464	1991817	1995773	2038721	2044612	2060477	2087334	2099451	2129784	2164834	2203806	2239558	IAH
Miami	597847	600453	603666	608056	610616	610576	613262	617817	624126	643790	650518	656755	665895	MIA
Seattle	845152	845035	847514	853562	864497	872752	882348	895795	899468	942939	960354	981365	999061	SEA
Newark	517346	517363	516455	515275	513597	513453	516033	521390	524737	530971	534970	538130	542725	EWR
Orlando	205278	209470	215457	223410	228762	231266	233467	235918	238300	243787	250136	255432	262372	MCO
Minneapolis	381535	380189	378749	376937	376495	377575	379185	381638	382578	388253	392966	400647	407207	MSP
Detroit	929403	907983	884887	861222	835798	808886	780224	755054	737766	725972	720488	710245	703746	DTW
Boston	599301	595864	591166	587260	587816	593136	600685	612669	617594	630645	640839	649917	655884	BOS
Philadelphia	1498493	1493802	1492882	1490861	1488710	1493309	1499731	1514694	1526006	1539313	1550396	1556052	1560297	PHL
New York	8072000	8068073	8043366	8013368	7993906	8013775	8068195	8131574	8175133	8287238	8365903	8438379	8491079	LGA
Fort Lauderdale	316433	316892	317432	318592	314570	308615	306503	305636	306289	312741	317061	320169	324060	FLL
Glen Burnie	634115	629033	624222	621560	621109	620306	620184	620509	620961	620889	622950	623404	622793	BWI
Dulles	573158	568502	567754	567136	570681	574404	580236	592228	601723	620427	635040	649111	658893	IAD
Chicago	2847266	2819117	2786291	2752523	2720181	2703991	2697359	2697006	2695598	2705627	2715415	2722307	2722389	MDW
Salt Lake City	180809	180075	179836	180488	182106	183318	184283	185543	186440	188158	189448	191282	190884	SLC
Arlington (country of va)	763295	757237	755655	754896	758857	765163	776541	794865	809350	837030	856987	875123	885801	DCA
Honolulu	890473	894311	907997	918181	926954	925335	933680	943177	953207	966559	976746	987019	991788	HNL
San Diego	1251808	1254603	1256969	1257278	1257625	1266198	1282692	1295591	1307402	1321016	1339644	1359844	1381069	SAN
Tampa	311395	314812	320346	326829	331642	332024	332173	333871	335709	346934	349069	352999	358699	TPA
Portland	540833	542496	536636	538053	544669	555306	566850	578104	583776	593859	602954	609520	619360	PDX
